[1513709895] LOG ROTATION: HOURLY
[1513709895] LOG VERSION: 2.0
[1513709895] CURRENT HOST STATE: icinga2-satellite-1-core.quanta.it;DOWN;SOFT;1;
[1513709895] CURRENT SERVICE STATE: icinga2-satellite-1-core.quanta.it;apt;UNKNOWN;SOFT;1;
[1513709895] CURRENT SERVICE STATE: icinga2-satellite-1-core.quanta.it;ping6;UNKNOWN;SOFT;1;
[1513709895] CURRENT SERVICE STATE: icinga2-satellite-1-core.quanta.it;http;UNKNOWN;SOFT;1;
[1513709895] CURRENT SERVICE STATE: icinga2-satellite-1-core.quanta.it;disk;UNKNOWN;SOFT;1;
[1513709895] CURRENT SERVICE STATE: icinga2-satellite-1-core.quanta.it;disk /;UNKNOWN;SOFT;1;
[1513709895] CURRENT SERVICE STATE: icinga2-satellite-1-core.quanta.it;icinga;UNKNOWN;SOFT;1;
[1513709895] CURRENT SERVICE STATE: icinga2-satellite-1-core.quanta.it;load;UNKNOWN;SOFT;1;
[1513709895] CURRENT SERVICE STATE: icinga2-satellite-1-core.quanta.it;procs;UNKNOWN;SOFT;1;
[1513709895] CURRENT SERVICE STATE: icinga2-satellite-1-core.quanta.it;swap;UNKNOWN;SOFT;1;
[1513709895] CURRENT SERVICE STATE: icinga2-satellite-1-core.quanta.it;users;UNKNOWN;SOFT;1;
[1513709895] CURRENT SERVICE STATE: icinga2-satellite-1-core.quanta.it;ping4;UNKNOWN;SOFT;1;
[1513709952] SERVICE ALERT: icinga2-satellite-1-core.quanta.it;ping6;UNKNOWN;SOFT;2;/bin/ping6 -n -U -w 10 -c 5 ::1
[1513709952] SERVICE ALERT: icinga2-satellite-1-core.quanta.it;disk;WARNING;SOFT;2;DISK WARNING - free space: / 42204 MB (69% inode=86%): /etc/icinga2 27254 MB (11% inode=99%): /etc/hostname 42204 MB (69% inode=86%): /etc/hosts 42204 MB (69% inode=86%): /etc/resolv.conf 42204 MB (69% inode=86%): /var/lib/icinga2 27254 MB (11% inode=99%): /var/log/icinga2 27254 MB (11% inode=99%): /var/spool/icinga2 27254 MB (11% inode=99%): /run/icinga2 27254 MB (11% inode=99%): /var/cache/icinga2 27254 MB (11% inode=99%):
[1513709952] SERVICE ALERT: icinga2-satellite-1-core.quanta.it;swap;OK;HARD;1;SWAP OK - 100% free (1023 MB out of 1023 MB) 
[1513709953] SERVICE ALERT: icinga2-satellite-1-core.quanta.it;icinga;OK;HARD;1;Icinga 2 has been running for 57 seconds. Version: r2.8.0-1
[1513709953] SERVICE ALERT: icinga2-satellite-1-core.quanta.it;users;OK;HARD;1;USERS OK - 0 users currently logged in 
[1513709953] SERVICE ALERT: icinga2-satellite-1-core.quanta.it;procs;OK;HARD;1;PROCS OK: 12 processes 
[1513709954] SERVICE ALERT: icinga2-satellite-1-core.quanta.it;load;OK;HARD;1;OK - load average: 0.35, 0.27, 0.18
[1513709954] SERVICE ALERT: icinga2-satellite-1-core.quanta.it;apt;OK;HARD;1;APT OK: 0 packages available for upgrade (0 critical updates). 
[1513709954] SERVICE ALERT: icinga2-satellite-1-core.quanta.it;disk /;OK;HARD;1;DISK OK - free space: / 42204 MB (69% inode=86%):
[1513709954] SERVICE ALERT: icinga2-satellite-1-core.quanta.it;http;CRITICAL;SOFT;2;connect to address 127.0.0.1 and port 80: Connection refused
[1513709956] SERVICE ALERT: icinga2-satellite-1-core.quanta.it;ping4;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.22 ms
[1513709956] HOST ALERT: icinga2-satellite-1-core.quanta.it;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.10 ms
[1513709980] SERVICE ALERT: icinga2-satellite-1-core.quanta.it;ping6;UNKNOWN;SOFT;3;/bin/ping6 -n -U -w 10 -c 5 ::1
[1513709980] SERVICE ALERT: icinga2-satellite-1-core.quanta.it;disk;WARNING;SOFT;3;DISK WARNING - free space: / 42172 MB (69% inode=86%): /etc/icinga2 27226 MB (11% inode=99%): /etc/hostname 42172 MB (69% inode=86%): /etc/hosts 42172 MB (69% inode=86%): /etc/resolv.conf 42172 MB (69% inode=86%): /var/lib/icinga2 27226 MB (11% inode=99%): /var/log/icinga2 27226 MB (11% inode=99%): /var/spool/icinga2 27226 MB (11% inode=99%): /run/icinga2 27226 MB (11% inode=99%): /var/cache/icinga2 27226 MB (11% inode=99%):
[1513709984] SERVICE ALERT: icinga2-satellite-1-core.quanta.it;http;CRITICAL;SOFT;3;connect to address 127.0.0.1 and port 80: Connection refused
